labelIndex,modelLabel,scientificName,taxonClass
3731,Myiarchus swainsoni,Myiarchus swainsoni,Aves
3732,Myiarchus tuberculifer,Myiarchus tuberculifer,Aves
3733,Myiarchus tyrannulus,Myiarchus tyrannulus,Aves
3734,Myiarchus venezuelensis,Myiarchus venezuelensis,Aves
3735,Myiarchus yucatanensis,Myiarchus yucatanensis,Aves
3736,Myiobius atricaudus,Myiobius atricaudus,Aves
3737,Myiobius barbatus,Myiobius barbatus,Aves
3738,Myiobius sulphureipygius,Myiobius sulphureipygius,Aves
3739,Myioborus albifrons,Myioborus albifrons,Aves
3740,Myioborus brunniceps,Myioborus brunniceps,Aves
3741,Myioborus castaneocapilla,Myioborus castaneocapilla,Aves
3742,Myioborus flavivertex,Myioborus flavivertex,Aves
3743,Myioborus melanocephalus,Myioborus melanocephalus,Aves
3744,Myioborus miniatus,Myioborus miniatus,Aves
3745,Myioborus ornatus,Myioborus ornatus,Aves
3746,Myioborus pictus,Myioborus pictus,Aves
3747,Myioborus torquatus,Myioborus torquatus,Aves
3748,Myiodynastes bairdii,Myiodynastes bairdii,Aves
3749,Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,Aves
3750,Myiodynastes hemichrysus,Myiodynastes hemichrysus,Aves
3751,Myiodynastes luteiventris,Myiodynastes luteiventris,Aves
3752,Myiodynastes maculatus,Myiodynastes maculatus,Aves
3753,Myiomela leucura,Myiomela leucura,Aves
3754,Myiopagis caniceps,Myiopagis caniceps,Aves
3755,Myiopagis flavivertex,Myiopagis flavivertex,Aves
3756,Myiopagis gaimardii,Myiopagis gaimardii,Aves
3757,Myiopagis olallai,Myiopagis olallai,Aves
3758,Myiopagis subplacens,Myiopagis subplacens,Aves
3759,Myiopagis viridicata,Myiopagis viridicata,Aves
3760,Myiophobus cryptoxanthus,Myiophobus cryptoxanthus,Aves
3761,Myiophobus fasciatus,Myiophobus fasciatus,Aves
3762,Myiophobus flavicans,Myiophobus flavicans,Aves
3763,Myiophobus phoenicomitra,Myiophobus phoenicomitra,Aves
3764,Myiopsitta monachus,Myiopsitta monachus,Aves
3765,Myiornis albiventris,Myiornis albiventris,Aves
3766,Myiornis atricapillus,Myiornis atricapillus,Aves
3767,Myiornis auricularis,Myiornis auricularis,Aves
3768,Myiornis ecaudatus,Myiornis ecaudatus,Aves
3769,Myiotheretes fumigatus,Myiotheretes fumigatus,Aves
3770,Myiotheretes fuscorufus,Myiotheretes fuscorufus,Aves
3771,Myiotheretes pernix,Myiotheretes pernix,Aves
3772,Myiotheretes striaticollis,Myiotheretes striaticollis,Aves
3773,Myiothlypis basilica,Myiothlypis basilica,Aves
3774,Myiothlypis bivittata,Myiothlypis bivittata,Aves
3775,Myiothlypis chrysogaster,Myiothlypis chrysogaster,Aves
3776,Myiothlypis cinereicollis,Myiothlypis cinereicollis,Aves
3777,Myiothlypis conspicillata,Myiothlypis conspicillata,Aves
3778,Myiothlypis coronata,Myiothlypis coronata,Aves
3779,Myiothlypis flaveola,Myiothlypis flaveola,Aves
3780,Myiothlypis fraseri,Myiothlypis fraseri,Aves
3781,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Aves
3782,Myiothlypis leucoblephara,Myiothlypis leucoblephara,Aves
3783,Myiothlypis leucophrys,Myiothlypis leucophrys,Aves
3784,Myiothlypis luteoviridis,Myiothlypis luteoviridis,Aves
3785,Myiothlypis nigrocristata,Myiothlypis nigrocristata,Aves
3786,Myiothlypis rivularis,Myiothlypis rivularis,Aves
3787,Myiothlypis signata,Myiothlypis signata,Aves
3788,Myiotriccus ornatus,Myiotriccus ornatus,Aves
3789,Myiozetetes cayanensis,Myiozetetes cayanensis,Aves
3790,Myiozetetes granadensis,Myiozetetes granadensis,Aves
3791,Myiozetetes luteiventris,Myiozetetes luteiventris,Aves
3792,Myiozetetes similis,Myiozetetes similis,Aves
3793,Myophonus caeruleus,Myophonus caeruleus,Aves
3794,Myophonus horsfieldii,Myophonus horsfieldii,Aves
3795,Myophonus insularis,Myophonus insularis,Aves
3796,Myophonus melanurus,Myophonus melanurus,Aves
3797,Myornis senilis,Myornis senilis,Aves
3798,Myrmeciza longipes,Myrmeciza longipes,Aves
3799,Myrmecocichla aethiops,Myrmecocichla aethiops,Aves
3800,Myrmecocichla arnotti,Myrmecocichla arnotti,Aves
3801,Myrmecocichla formicivora,Myrmecocichla formicivora,Aves
3802,Myrmecocichla monticola,Myrmecocichla monticola,Aves
3803,Myrmecocichla nigra,Myrmecocichla nigra,Aves
3804,Myrmelastes humaythae,Myrmelastes humaythae,Aves
3805,Myrmelastes hyperythrus,Myrmelastes hyperythrus,Aves
3806,Myrmelastes leucostigma,Myrmelastes leucostigma,Aves
3807,Myrmelastes rufifacies,Myrmelastes rufifacies,Aves
3808,Myrmelastes schistaceus,Myrmelastes schistaceus,Aves
3809,Myrmoborus leucophrys,Myrmoborus leucophrys,Aves
3810,Myrmoborus lophotes,Myrmoborus lophotes,Aves
3811,Myrmoborus lugubris,Myrmoborus lugubris,Aves
3812,Myrmoborus melanurus,Myrmoborus melanurus,Aves
3813,Myrmoborus myotherinus,Myrmoborus myotherinus,Aves
3814,Myrmochanes hemileucus,Myrmochanes hemileucus,Aves
3815,Myrmoderus ferrugineus,Myrmoderus ferrugineus,Aves
3816,Myrmoderus loricatus,Myrmoderus loricatus,Aves
3817,Myrmoderus ruficauda,Myrmoderus ruficauda,Aves
3818,Myrmoderus squamosus,Myrmoderus squamosus,Aves
3819,Myrmophylax atrothorax,Myrmophylax atrothorax,Aves
3820,Myrmorchilus strigilatus,Myrmorchilus strigilatus,Aves
3821,Myrmornis torquata,Myrmornis torquata,Aves
3822,Myrmothera berlepschi,Myrmothera berlepschi,Aves
3823,Myrmothera campanisona,Myrmothera campanisona,Aves
3824,Myrmothera dives,Myrmothera dives,Aves
3825,Myrmothera fulviventris,Myrmothera fulviventris,Aves
3826,Myrmothera simplex,Myrmothera simplex,Aves
3827,Myrmothera subcanescens,Myrmothera subcanescens,Aves
3828,Myrmotherula ambigua,Myrmotherula ambigua,Aves
3829,Myrmotherula assimilis,Myrmotherula assimilis,Aves
3830,Myrmotherula axillaris,Myrmotherula axillaris,Aves
3831,Myrmotherula brachyura,Myrmotherula brachyura,Aves
3832,Myrmotherula cherriei,Myrmotherula cherriei,Aves
3833,Myrmotherula ignota,Myrmotherula ignota,Aves
3834,Myrmotherula iheringi,Myrmotherula iheringi,Aves
3835,Myrmotherula klagesi,Myrmotherula klagesi,Aves
3836,Myrmotherula longicauda,Myrmotherula longicauda,Aves
3837,Myrmotherula longipennis,Myrmotherula longipennis,Aves
